granularity,buggedType,version_name,valid,bug
Method,Most,0.0.1,5189,0
Method,Most,2.1.0,5189,0
Method,Most,2.2.0,5189,0
Method,Most,2.2.1,5189,0
Method,Most,release-3.0.0,5189,0
Method,Most,release-3.0.1,5189,0
Method,Most,release-3.1.0,5189,0
Method,Most,release-3.1.1,5189,0
Method,Most,release-3.1.2,5189,0
Method,Most,release-3.2.0,5189,0
Method,Most,release-3.2.1,5189,0
Method,Most,release-3.2.2,5189,0
Method,Most,release-3.3.0,5189,0
Method,Most,release-3.3.1,5189,0
Method,Most,release-3.3.2,5232,0
Method,Most,release-3.3.3,4190,7
Method,Most,release-3.4.0,4197,0
Method,Most,release-3.3.4,4225,1
Method,Most,release-3.4.1,4240,0
Method,Most,release-3.4.2,4270,0
Method,Most,release-3.4.3,4390,2
Method,Most,release-3.3.5,4482,0
Method,Most,release-3.3.6,4513,0
Method,Most,release-3.4.4,4526,1
Method,Most,release-3.4.5,5082,4
Method,Most,release-3.4.6,5494,1
Method,Most,release-3.5.0,5806,33
Method,Most,release-3.5.1,5853,11
Method,Most,release-3.4.7,5865,10
Method,Most,release-3.4.8,5977,10
Method,Most,release-3.5.2,6015,6
Method,Most,release-3.4.9,6162,48
Method,Most,release-3.4.10,6208,2
Method,Most,release-3.5.3,6212,27
Method,Most,release-3.4.11,6446,18
Method,Most,release-3.4.12,6560,12
Method,Most,release-3.5.4,6584,5
Method,All,0.0.1,5189,0
Method,All,2.1.0,5189,0
Method,All,2.2.0,5189,0
Method,All,2.2.1,5189,0
Method,All,release-3.0.0,5189,0
Method,All,release-3.0.1,5189,0
Method,All,release-3.1.0,5189,0
Method,All,release-3.1.1,5189,0
Method,All,release-3.1.2,5189,0
Method,All,release-3.2.0,5189,0
Method,All,release-3.2.1,5189,0
Method,All,release-3.2.2,5189,0
Method,All,release-3.3.0,5189,0
Method,All,release-3.3.1,5189,0
Method,All,release-3.3.2,5232,0
Method,All,release-3.3.3,4168,29
Method,All,release-3.4.0,4197,0
Method,All,release-3.3.4,4226,0
Method,All,release-3.4.1,4240,0
Method,All,release-3.4.2,4270,0
Method,All,release-3.4.3,4392,0
Method,All,release-3.3.5,4482,0
Method,All,release-3.3.6,4513,0
Method,All,release-3.4.4,4525,2
Method,All,release-3.4.5,5074,12
Method,All,release-3.4.6,5493,2
Method,All,release-3.5.0,5741,98
Method,All,release-3.5.1,5844,20
Method,All,release-3.4.7,5855,20
Method,All,release-3.4.8,5966,21
Method,All,release-3.5.2,5943,78
Method,All,release-3.4.9,6106,104
Method,All,release-3.4.10,6207,3
Method,All,release-3.5.3,6171,68
Method,All,release-3.4.11,6320,144
Method,All,release-3.4.12,6511,61
Method,All,release-3.5.4,6574,15
File,Most,0.0.1,738,0
File,Most,2.1.0,738,0
File,Most,2.2.0,738,0
File,Most,2.2.1,738,0
File,Most,release-3.0.0,738,0
File,Most,release-3.0.1,738,0
File,Most,release-3.1.0,738,0
File,Most,release-3.1.1,738,0
File,Most,release-3.1.2,738,0
File,Most,release-3.2.0,738,0
File,Most,release-3.2.1,738,0
File,Most,release-3.2.2,738,0
File,Most,release-3.3.0,738,0
File,Most,release-3.3.1,738,0
File,Most,release-3.3.2,746,0
File,Most,release-3.3.3,562,6
File,Most,release-3.4.0,568,0
File,Most,release-3.3.4,569,0
File,Most,release-3.4.1,570,0
File,Most,release-3.4.2,574,0
File,Most,release-3.4.3,595,0
File,Most,release-3.3.5,603,0
File,Most,release-3.3.6,608,0
File,Most,release-3.4.4,607,1
File,Most,release-3.4.5,652,4
File,Most,release-3.4.6,703,1
File,Most,release-3.5.0,726,19
File,Most,release-3.5.1,742,7
File,Most,release-3.4.7,743,10
File,Most,release-3.4.8,753,9
File,Most,release-3.5.2,763,7
File,Most,release-3.4.9,770,20
File,Most,release-3.4.10,788,2
File,Most,release-3.5.3,772,20
File,Most,release-3.4.11,805,14
File,Most,release-3.4.12,819,9
File,Most,release-3.5.4,825,4
File,All,0.0.1,738,0
File,All,2.1.0,738,0
File,All,2.2.0,738,0
File,All,2.2.1,738,0
File,All,release-3.0.0,738,0
File,All,release-3.0.1,738,0
File,All,release-3.1.0,738,0
File,All,release-3.1.1,738,0
File,All,release-3.1.2,738,0
File,All,release-3.2.0,738,0
File,All,release-3.2.1,738,0
File,All,release-3.2.2,738,0
File,All,release-3.3.0,738,0
File,All,release-3.3.1,738,0
File,All,release-3.3.2,746,0
File,All,release-3.3.3,553,15
File,All,release-3.4.0,568,0
File,All,release-3.3.4,569,0
File,All,release-3.4.1,570,0
File,All,release-3.4.2,574,0
File,All,release-3.4.3,595,0
File,All,release-3.3.5,603,0
File,All,release-3.3.6,608,0
File,All,release-3.4.4,607,1
File,All,release-3.4.5,650,6
File,All,release-3.4.6,702,2
File,All,release-3.5.0,700,45
File,All,release-3.5.1,741,8
File,All,release-3.4.7,737,16
File,All,release-3.4.8,750,12
File,All,release-3.5.2,732,38
File,All,release-3.4.9,734,56
File,All,release-3.4.10,788,2
File,All,release-3.5.3,725,67
File,All,release-3.4.11,772,47
File,All,release-3.4.12,808,20
File,All,release-3.5.4,817,12
