granularity,buggedType,version_name,valid,bug
Method,Most,rel/0.2.0,5626,42
Method,Most,rel/0.3.0,9574,85
Method,Most,rel/0.8.0,9977,16
Method,Most,rel/0.9.0,11494,12
Method,Most,rel/0.10.0,11583,13
Method,Most,rel/0.11.0,11759,26
Method,Most,rel/0.12.0,12030,6
Method,Most,rel/0.13.0,12354,3
Method,Most,rel/0.14.0,12388,2
Method,Most,rel/0.15.0,12505,7
Method,Most,rel/0.16.0,12490,8
Method,Most,rel/0.17.0,12722,28
Method,Most,rel/0.18.0,12782,7
Method,Most,rel/0.19.0,12931,7
Method,Most,rel/0.20.0,13144,7
Method,All,rel/0.2.0,5665,3
Method,All,rel/0.3.0,9223,436
Method,All,rel/0.8.0,9943,50
Method,All,rel/0.9.0,11428,78
Method,All,rel/0.10.0,11588,8
Method,All,rel/0.11.0,11746,39
Method,All,rel/0.12.0,12009,27
Method,All,rel/0.13.0,12342,15
Method,All,rel/0.14.0,12388,2
Method,All,rel/0.15.0,12493,19
Method,All,rel/0.16.0,12427,71
Method,All,rel/0.17.0,12712,38
Method,All,rel/0.18.0,12735,54
Method,All,rel/0.19.0,12922,16
Method,All,rel/0.20.0,13143,8
File,Most,rel/0.2.0,934,1
File,Most,rel/0.3.0,949,217
File,Most,rel/0.8.0,1243,12
File,Most,rel/0.9.0,1460,7
File,Most,rel/0.10.0,1465,4
File,Most,rel/0.11.0,1458,10
File,Most,rel/0.12.0,1497,7
File,Most,rel/0.13.0,1533,3
File,Most,rel/0.14.0,1536,4
File,Most,rel/0.15.0,1541,5
File,Most,rel/0.16.0,1530,10
File,Most,rel/0.17.0,1553,12
File,Most,rel/0.18.0,1528,5
File,Most,rel/0.19.0,1477,5
File,Most,rel/0.20.0,1492,2
File,All,rel/0.2.0,778,157
File,All,rel/0.3.0,992,174
File,All,rel/0.8.0,1237,18
File,All,rel/0.9.0,1434,33
File,All,rel/0.10.0,1462,7
File,All,rel/0.11.0,1449,19
File,All,rel/0.12.0,1487,17
File,All,rel/0.13.0,1526,10
File,All,rel/0.14.0,1536,4
File,All,rel/0.15.0,1537,9
File,All,rel/0.16.0,1505,35
File,All,rel/0.17.0,1547,18
File,All,rel/0.18.0,1519,14
File,All,rel/0.19.0,1474,8
File,All,rel/0.20.0,1488,6
