granularity,buggedType,version_name,valid,bug
Method,Most,batik_1_0,11488,12
Method,Most,batik-1_1,12952,30
Method,Most,batik-1_5,14169,8
Method,Most,batik-1_6,17588,11
Method,Most,batik-1_7,17671,109
Method,Most,batik-1_8,17812,1
Method,All,batik_1_0,10888,612
Method,All,batik-1_1,12636,346
Method,All,batik-1_5,13813,364
Method,All,batik-1_6,16851,748
Method,All,batik-1_7,17619,161
Method,All,batik-1_8,17812,1
File,Most,batik_1_0,1867,10
File,Most,batik-1_1,1867,9
File,Most,batik-1_5,2045,4
File,Most,batik-1_6,2053,6
File,Most,batik-1_7,2241,12
File,Most,batik-1_8,2260,1
File,All,batik_1_0,1733,144
File,All,batik-1_1,1812,64
File,All,batik-1_5,1901,148
File,All,batik-1_6,1912,147
File,All,batik-1_7,1929,324
File,All,batik-1_8,2260,1
