granularity,buggedType,version_name,valid,bug
Method,Most,release-4.0.0,2910,64
Method,Most,release-4.1.0,5002,76
Method,Most,release-4.2.0,7711,95
Method,Most,release-4.3.0,4540,67
Method,Most,release-4.4.0,10687,191
Method,Most,release-4.5.0,12128,145
Method,Most,release-4.6.0,17187,78
Method,Most,release-4.7.0,19289,15
Method,All,release-4.0.0,2599,375
Method,All,release-4.1.0,4350,728
Method,All,release-4.2.0,7356,450
Method,All,release-4.3.0,4305,302
Method,All,release-4.4.0,7707,3171
Method,All,release-4.5.0,10503,1770
Method,All,release-4.6.0,15913,1352
Method,All,release-4.7.0,18863,441
File,Most,release-4.0.0,327,31
File,Most,release-4.1.0,470,39
File,Most,release-4.2.0,715,44
File,Most,release-4.3.0,376,31
File,Most,release-4.4.0,1222,83
File,Most,release-4.5.0,1475,73
File,Most,release-4.6.0,2834,39
File,Most,release-4.7.0,3200,7
File,All,release-4.0.0,264,94
File,All,release-4.1.0,394,115
File,All,release-4.2.0,652,107
File,All,release-4.3.0,344,63
File,All,release-4.4.0,605,700
File,All,release-4.5.0,1092,456
File,All,release-4.6.0,2526,347
File,All,release-4.7.0,3094,113
