granularity,buggedType,version_name,valid,bug
Method,Most,click-0-10,4535,0
Method,Most,click-0-20,4535,0
Method,Most,click-0-7,4535,0
Method,Most,click-0-8,4535,0
Method,Most,click-0-9,4535,0
Method,Most,click-1.0,4535,0
Method,Most,click-1.1,4535,0
Method,Most,click-1.4,4535,0
Method,Most,click-1.5,4535,0
Method,Most,clickide-1-1-0,4535,0
Method,Most,clickide-1-2-0,4535,0
Method,Most,clickide-1-3-0,4535,0
Method,Most,clickide-1-4-0,4535,0
Method,Most,clickide-1-5-0,4535,0
Method,Most,clickide-1-6-0,4535,0
Method,Most,clickide-1-7-0,4535,0
Method,Most,clickide-2.0.0,4535,0
Method,Most,clickide-2.1.0,4534,1
Method,Most,click-2.1.0,4535,0
Method,Most,clickide-2-1-0-0,4535,0
Method,Most,clickide-2.1.0.0,4766,6
Method,Most,click-2.2.0,5375,22
Method,Most,click-2.3.0,5397,0
Method,All,click-0-10,4535,0
Method,All,click-0-20,4535,0
Method,All,click-0-7,4535,0
Method,All,click-0-8,4535,0
Method,All,click-0-9,4535,0
Method,All,click-1.0,4535,0
Method,All,click-1.1,4535,0
Method,All,click-1.4,4535,0
Method,All,click-1.5,4535,0
Method,All,clickide-1-1-0,4535,0
Method,All,clickide-1-2-0,4535,0
Method,All,clickide-1-3-0,4535,0
Method,All,clickide-1-4-0,4535,0
Method,All,clickide-1-5-0,4535,0
Method,All,clickide-1-6-0,4535,0
Method,All,clickide-1-7-0,4535,0
Method,All,clickide-2.0.0,4535,0
Method,All,clickide-2.1.0,4534,1
Method,All,click-2.1.0,4535,0
Method,All,clickide-2-1-0-0,4535,0
Method,All,clickide-2.1.0.0,4730,42
Method,All,click-2.2.0,5331,66
Method,All,click-2.3.0,5397,0
File,Most,click-0-10,465,0
File,Most,click-0-20,465,0
File,Most,click-0-7,465,0
File,Most,click-0-8,465,0
File,Most,click-0-9,465,0
File,Most,click-1.0,465,0
File,Most,click-1.1,465,0
File,Most,click-1.4,465,0
File,Most,click-1.5,465,0
File,Most,clickide-1-1-0,465,0
File,Most,clickide-1-2-0,465,0
File,Most,clickide-1-3-0,465,0
File,Most,clickide-1-4-0,465,0
File,Most,clickide-1-5-0,465,0
File,Most,clickide-1-6-0,465,0
File,Most,clickide-1-7-0,465,0
File,Most,clickide-2.0.0,465,0
File,Most,clickide-2.1.0,464,1
File,Most,click-2.1.0,465,0
File,Most,clickide-2-1-0-0,465,0
File,Most,clickide-2.1.0.0,476,5
File,Most,click-2.2.0,526,16
File,Most,click-2.3.0,542,0
File,All,click-0-10,465,0
File,All,click-0-20,465,0
File,All,click-0-7,465,0
File,All,click-0-8,465,0
File,All,click-0-9,465,0
File,All,click-1.0,465,0
File,All,click-1.1,465,0
File,All,click-1.4,465,0
File,All,click-1.5,465,0
File,All,clickide-1-1-0,465,0
File,All,clickide-1-2-0,465,0
File,All,clickide-1-3-0,465,0
File,All,clickide-1-4-0,465,0
File,All,clickide-1-5-0,465,0
File,All,clickide-1-6-0,465,0
File,All,clickide-1-7-0,465,0
File,All,clickide-2.0.0,465,0
File,All,clickide-2.1.0,464,1
File,All,click-2.1.0,465,0
File,All,clickide-2-1-0-0,465,0
File,All,clickide-2.1.0.0,459,22
File,All,click-2.2.0,516,26
File,All,click-2.3.0,542,0
