granularity,buggedType,version_name,valid,bug
Method,Most,commons-compress-1.0,1204,0
Method,Most,rel/1.0,1342,18
Method,Most,commons-compress-1.1,1360,0
Method,Most,rel/1.1,1443,25
Method,Most,COMPRESS_1.2,1468,0
Method,Most,rel/1.2,1839,4
Method,Most,COMPRESS_1.3,1843,0
Method,Most,rel/1.3,1935,27
Method,Most,COMPRESS_1.4,1962,0
Method,Most,rel/1.4,2125,13
Method,Most,COMPRESS-1.5,2138,0
Method,Most,rel/1.5,2318,20
Method,Most,COMPRESS-1.6,2338,0
Method,Most,rel/1.6,2487,27
Method,Most,COMPRESS-1.7,2514,0
Method,Most,rel/1.7,2609,7
Method,Most,COMPRESS-1.8,2616,0
Method,Most,rel/1.8,2660,24
Method,Most,COMPRESS-1.9,2684,0
Method,Most,rel/1.9,2890,21
Method,Most,COMPRESS-1.10,2911,0
Method,All,commons-compress-1.0,1204,0
Method,All,rel/1.0,1297,63
Method,All,commons-compress-1.1,1360,0
Method,All,rel/1.1,1457,11
Method,All,COMPRESS_1.2,1468,0
Method,All,rel/1.2,1838,5
Method,All,COMPRESS_1.3,1843,0
Method,All,rel/1.3,1935,27
Method,All,COMPRESS_1.4,1962,0
Method,All,rel/1.4,2110,28
Method,All,COMPRESS-1.5,2138,0
Method,All,rel/1.5,2274,64
Method,All,COMPRESS-1.6,2338,0
Method,All,rel/1.6,2507,7
Method,All,COMPRESS-1.7,2514,0
Method,All,rel/1.7,2595,21
Method,All,COMPRESS-1.8,2616,0
Method,All,rel/1.8,2650,34
Method,All,COMPRESS-1.9,2684,0
Method,All,rel/1.9,2814,97
Method,All,COMPRESS-1.10,2911,0
File,Most,commons-compress-1.0,139,0
File,Most,rel/1.0,148,6
File,Most,commons-compress-1.1,154,0
File,Most,rel/1.1,157,7
File,Most,COMPRESS_1.2,164,0
File,Most,rel/1.2,201,2
File,Most,COMPRESS_1.3,203,0
File,Most,rel/1.3,208,8
File,Most,COMPRESS_1.4,216,0
File,Most,rel/1.4,215,8
File,Most,COMPRESS-1.5,223,0
File,Most,rel/1.5,242,8
File,Most,COMPRESS-1.6,250,0
File,Most,rel/1.6,268,4
File,Most,COMPRESS-1.7,272,0
File,Most,rel/1.7,273,6
File,Most,COMPRESS-1.8,279,0
File,Most,rel/1.8,283,8
File,Most,COMPRESS-1.9,291,0
File,Most,rel/1.9,309,11
File,Most,COMPRESS-1.10,320,0
File,All,commons-compress-1.0,139,0
File,All,rel/1.0,139,15
File,All,commons-compress-1.1,154,0
File,All,rel/1.1,157,7
File,All,COMPRESS_1.2,164,0
File,All,rel/1.2,201,2
File,All,COMPRESS_1.3,203,0
File,All,rel/1.3,202,14
File,All,COMPRESS_1.4,216,0
File,All,rel/1.4,211,12
File,All,COMPRESS-1.5,223,0
File,All,rel/1.5,230,20
File,All,COMPRESS-1.6,250,0
File,All,rel/1.6,268,4
File,All,COMPRESS-1.7,272,0
File,All,rel/1.7,271,8
File,All,COMPRESS-1.8,279,0
File,All,rel/1.8,269,22
File,All,COMPRESS-1.9,291,0
File,All,rel/1.9,294,26
File,All,COMPRESS-1.10,320,0
