granularity,buggedType,version_name,valid,bug
Method,Most,apache-crunch-0.6.0,4217,21
Method,Most,apache-crunch-0.7.0,4739,28
Method,Most,apache-crunch-0.8.0,5427,11
Method,Most,apache-crunch-0.9.0,5762,30
Method,Most,apache-crunch-0.10.0,6111,25
Method,Most,apache-crunch-0.11.0,6407,29
Method,Most,apache-crunch-0.12.0,6436,0
Method,Most,ach25,6449,21
Method,Most,apache-crunch-0.13.0,6662,17
Method,Most,apache-crunch-0.14.0,6984,14
Method,All,apache-crunch-0.6.0,4153,85
Method,All,apache-crunch-0.7.0,4453,314
Method,All,apache-crunch-0.8.0,5314,124
Method,All,apache-crunch-0.9.0,5619,173
Method,All,apache-crunch-0.10.0,5967,169
Method,All,apache-crunch-0.11.0,6257,179
Method,All,apache-crunch-0.12.0,6436,0
Method,All,ach25,6389,81
Method,All,apache-crunch-0.13.0,6619,60
Method,All,apache-crunch-0.14.0,6966,32
File,Most,apache-crunch-0.6.0,972,19
File,Most,apache-crunch-0.7.0,1070,25
File,Most,apache-crunch-0.8.0,1205,10
File,Most,apache-crunch-0.9.0,1235,27
File,Most,apache-crunch-0.10.0,1293,24
File,Most,apache-crunch-0.11.0,1334,19
File,Most,apache-crunch-0.12.0,1353,0
File,Most,ach25,1342,14
File,Most,apache-crunch-0.13.0,1380,16
File,Most,apache-crunch-0.14.0,1426,9
File,All,apache-crunch-0.6.0,944,47
File,All,apache-crunch-0.7.0,992,103
File,All,apache-crunch-0.8.0,1173,42
File,All,apache-crunch-0.9.0,1203,59
File,All,apache-crunch-0.10.0,1246,71
File,All,apache-crunch-0.11.0,1280,73
File,All,apache-crunch-0.12.0,1353,0
File,All,ach25,1301,55
File,All,apache-crunch-0.13.0,1364,32
File,All,apache-crunch-0.14.0,1402,33
