granularity,buggedType,version_name,valid,bug
Method,Most,cxf-2.1,22335,48
Method,Most,cxf-2.2,27103,58
Method,Most,cxf-2.1.10,28036,6
Method,Most,cxf-2.2.10,28404,3
Method,Most,cxf-2.3.0,31103,28
Method,Most,cxf-2.4.0,34226,25
Method,Most,cxf-2.5.0,36938,14
Method,Most,cxf-2.3.10,37101,0
Method,Most,cxf-2.6.0,39806,6
Method,Most,cxf-2.4.10,39812,0
Method,Most,cxf-2.7.0,41354,23
Method,Most,cxf-2.5.10,45282,26
Method,Most,cxf-2.6.10,47202,7
Method,Most,cxf-2.7.10,48463,13
Method,Most,cxf-3.0.0,53386,31
Method,Most,cxf-3.1.0,58048,25
Method,Most,cxf-3.0.10,58488,33
Method,Most,cxf-3.1.10,62553,39
Method,All,cxf-2.1,22045,338
Method,All,cxf-2.2,26930,231
Method,All,cxf-2.1.10,28028,14
Method,All,cxf-2.2.10,28399,8
Method,All,cxf-2.3.0,30934,197
Method,All,cxf-2.4.0,34220,31
Method,All,cxf-2.5.0,36908,44
Method,All,cxf-2.3.10,37101,0
Method,All,cxf-2.6.0,39800,12
Method,All,cxf-2.4.10,39812,0
Method,All,cxf-2.7.0,41323,54
Method,All,cxf-2.5.10,45192,116
Method,All,cxf-2.6.10,47178,31
Method,All,cxf-2.7.10,48453,23
Method,All,cxf-3.0.0,53326,91
Method,All,cxf-3.1.0,58036,37
Method,All,cxf-3.0.10,58427,94
Method,All,cxf-3.1.10,62471,121
File,Most,cxf-2.1,3557,47
File,Most,cxf-2.2,4231,40
File,Most,cxf-2.1.10,4457,5
File,Most,cxf-2.2.10,4510,3
File,Most,cxf-2.3.0,4990,21
File,Most,cxf-2.4.0,5480,14
File,Most,cxf-2.5.0,6110,9
File,Most,cxf-2.3.10,6127,0
File,Most,cxf-2.6.0,6387,5
File,Most,cxf-2.4.10,6392,0
File,Most,cxf-2.7.0,6624,18
File,Most,cxf-2.5.10,7249,15
File,Most,cxf-2.6.10,7527,5
File,Most,cxf-2.7.10,7669,8
File,Most,cxf-3.0.0,8611,25
File,Most,cxf-3.1.0,9361,14
File,Most,cxf-3.0.10,9444,28
File,Most,cxf-3.1.10,10159,30
File,All,cxf-2.1,3485,119
File,All,cxf-2.2,4192,79
File,All,cxf-2.1.10,4453,9
File,All,cxf-2.2.10,4507,6
File,All,cxf-2.3.0,4971,40
File,All,cxf-2.4.0,5477,17
File,All,cxf-2.5.0,6103,16
File,All,cxf-2.3.10,6127,0
File,All,cxf-2.6.0,6385,7
File,All,cxf-2.4.10,6392,0
File,All,cxf-2.7.0,6608,34
File,All,cxf-2.5.10,7153,111
File,All,cxf-2.6.10,7517,15
File,All,cxf-2.7.10,7668,9
File,All,cxf-3.0.0,8584,52
File,All,cxf-3.1.0,9357,18
File,All,cxf-3.0.10,9432,40
File,All,cxf-3.1.10,10136,53
