granularity,buggedType,version_name,valid,bug
Method,Most,doxia-sitetools-1.0-alpha-10,202,3
Method,Most,doxia-sitetools-1.0-alpha-11,216,0
Method,Most,doxia-sitetools-1.0,216,0
Method,Most,doxia-sitetools-1.1,302,4
Method,Most,doxia-sitetools-1.2,313,1
Method,Most,doxia-sitetools-1.3,314,0
Method,Most,doxia-sitetools-1.4,338,0
Method,Most,doxia-sitetools-1.6,445,1
Method,Most,doxia-sitetools-1.7,470,1
Method,All,doxia-sitetools-1.0-alpha-10,197,8
Method,All,doxia-sitetools-1.0-alpha-11,216,0
Method,All,doxia-sitetools-1.0,216,0
Method,All,doxia-sitetools-1.1,302,4
Method,All,doxia-sitetools-1.2,313,1
Method,All,doxia-sitetools-1.3,314,0
Method,All,doxia-sitetools-1.4,338,0
Method,All,doxia-sitetools-1.6,439,7
Method,All,doxia-sitetools-1.7,470,1
File,Most,doxia-sitetools-1.0-alpha-10,29,2
File,Most,doxia-sitetools-1.0-alpha-11,40,0
File,Most,doxia-sitetools-1.0,40,0
File,Most,doxia-sitetools-1.1,44,2
File,Most,doxia-sitetools-1.2,45,1
File,Most,doxia-sitetools-1.3,46,0
File,Most,doxia-sitetools-1.4,52,0
File,Most,doxia-sitetools-1.6,66,1
File,Most,doxia-sitetools-1.7,68,1
File,All,doxia-sitetools-1.0-alpha-10,28,3
File,All,doxia-sitetools-1.0-alpha-11,40,0
File,All,doxia-sitetools-1.0,40,0
File,All,doxia-sitetools-1.1,43,3
File,All,doxia-sitetools-1.2,45,1
File,All,doxia-sitetools-1.3,46,0
File,All,doxia-sitetools-1.4,52,0
File,All,doxia-sitetools-1.6,66,1
File,All,doxia-sitetools-1.7,68,1
