granularity,buggedType,version_name,valid,bug
Method,Most,EMAIL_1_0,251,0
Method,Most,EMAIL_1_1,265,1
Method,Most,EXEC_1_2,266,0
Method,Most,EMAIL_1_2,514,0
Method,Most,EMAIL_1_3,756,1
Method,Most,EMAIL_1_4,786,3
Method,All,EMAIL_1_0,251,0
Method,All,EMAIL_1_1,263,3
Method,All,EXEC_1_2,266,0
Method,All,EMAIL_1_2,514,0
Method,All,EMAIL_1_3,757,0
Method,All,EMAIL_1_4,787,2
File,Most,EMAIL_1_0,24,0
File,Most,EMAIL_1_1,24,1
File,Most,EXEC_1_2,25,0
File,Most,EMAIL_1_2,87,0
File,Most,EMAIL_1_3,92,0
File,Most,EMAIL_1_4,91,3
File,All,EMAIL_1_0,24,0
File,All,EMAIL_1_1,24,1
File,All,EXEC_1_2,25,0
File,All,EMAIL_1_2,87,0
File,All,EMAIL_1_3,92,0
File,All,EMAIL_1_4,91,3
