granularity,buggedType,version_name,valid,bug
Method,Most,gora-0.2,2712,19
Method,Most,apache-gora-0.3,3313,12
Method,Most,apache-gora-0.4,3493,8
Method,Most,apache-gora-0.5,3485,29
Method,Most,apache-gora-0.6,4029,28
Method,Most,apache-gora-0.7,4639,2
Method,All,gora-0.2,2679,52
Method,All,apache-gora-0.3,3253,72
Method,All,apache-gora-0.4,3479,22
Method,All,apache-gora-0.5,3452,62
Method,All,apache-gora-0.6,3952,105
Method,All,apache-gora-0.7,4617,24
File,Most,gora-0.2,305,11
File,Most,apache-gora-0.3,358,7
File,Most,apache-gora-0.4,383,8
File,Most,apache-gora-0.5,388,5
File,Most,apache-gora-0.6,533,20
File,Most,apache-gora-0.7,602,2
File,All,gora-0.2,297,19
File,All,apache-gora-0.3,335,30
File,All,apache-gora-0.4,379,12
File,All,apache-gora-0.5,377,16
File,All,apache-gora-0.6,518,35
File,All,apache-gora-0.7,581,23
