granularity,buggedType,version_name,valid,bug
Method,Most,release-0.1.0,13598,0
Method,Most,release-0.10.0,13598,0
Method,Most,release-0.11.0,13598,0
Method,Most,release-0.12.0,13598,0
Method,Most,release-0.13.0,13598,0
Method,Most,release-0.14.0,13598,0
Method,Most,release-0.15.0,13598,0
Method,Most,release-0.16.0,13598,0
Method,Most,release-0.17.0,13598,0
Method,Most,release-0.18.0,13598,0
Method,Most,release-0.19.0,13598,0
Method,Most,release-0.2.0,13598,0
Method,Most,release-0.20.0,13598,0
Method,Most,release-0.3.0,13598,0
Method,Most,release-0.4.0,13598,0
Method,Most,release-0.5.0,13598,0
Method,Most,release-0.6.0,13598,0
Method,Most,release-0.7.0,13598,0
Method,Most,release-0.8.0,13598,0
Method,Most,release-0.9.0,26938,46
Method,Most,release-0.20.203.0,27564,4
Method,Most,release-0.21.0,36980,2
Method,Most,release-0.20.204.0,40440,6
Method,Most,release-0.20.205.0,42583,3
Method,Most,release-0.23.0,43780,0
Method,Most,release-0.22.0,44997,2
Method,Most,release-1.0.0,54063,35
Method,Most,release-1.1.0,59933,20
Method,Most,release-1.2.0,67601,21
Method,Most,release-2.2.0,69434,12
Method,Most,release-0.23.10,73095,2
Method,Most,release-2.3.0,74294,5
Method,Most,release-2.4.0,79276,91
Method,All,release-0.1.0,13598,0
Method,All,release-0.10.0,13598,0
Method,All,release-0.11.0,13598,0
Method,All,release-0.12.0,13598,0
Method,All,release-0.13.0,13598,0
Method,All,release-0.14.0,13598,0
Method,All,release-0.15.0,13598,0
Method,All,release-0.16.0,13598,0
Method,All,release-0.17.0,13598,0
Method,All,release-0.18.0,13598,0
Method,All,release-0.19.0,13598,0
Method,All,release-0.2.0,13598,0
Method,All,release-0.20.0,13598,0
Method,All,release-0.3.0,13598,0
Method,All,release-0.4.0,13598,0
Method,All,release-0.5.0,13598,0
Method,All,release-0.6.0,13598,0
Method,All,release-0.7.0,13598,0
Method,All,release-0.8.0,13598,0
Method,All,release-0.9.0,26680,304
Method,All,release-0.20.203.0,27517,51
Method,All,release-0.21.0,36965,17
Method,All,release-0.20.204.0,40122,324
Method,All,release-0.20.205.0,42561,25
Method,All,release-0.23.0,43780,0
Method,All,release-0.22.0,44969,30
Method,All,release-1.0.0,53941,157
Method,All,release-1.1.0,59867,86
Method,All,release-1.2.0,67097,525
Method,All,release-2.2.0,69221,225
Method,All,release-0.23.10,73063,34
Method,All,release-2.3.0,74280,19
Method,All,release-2.4.0,79307,60
File,Most,release-0.1.0,1504,0
File,Most,release-0.10.0,1504,0
File,Most,release-0.11.0,1504,0
File,Most,release-0.12.0,1504,0
File,Most,release-0.13.0,1504,0
File,Most,release-0.14.0,1504,0
File,Most,release-0.15.0,1504,0
File,Most,release-0.16.0,1504,0
File,Most,release-0.17.0,1504,0
File,Most,release-0.18.0,1504,0
File,Most,release-0.19.0,1504,0
File,Most,release-0.2.0,1504,0
File,Most,release-0.20.0,1504,0
File,Most,release-0.3.0,1504,0
File,Most,release-0.4.0,1504,0
File,Most,release-0.5.0,1504,0
File,Most,release-0.6.0,1504,0
File,Most,release-0.7.0,1504,0
File,Most,release-0.8.0,1504,0
File,Most,release-0.9.0,2751,21
File,Most,release-0.20.203.0,2810,4
File,Most,release-0.21.0,4760,1
File,Most,release-0.20.204.0,5389,6
File,Most,release-0.20.205.0,5745,4
File,Most,release-0.23.0,6020,0
File,Most,release-0.22.0,6179,2
File,Most,release-1.0.0,7627,28
File,Most,release-1.1.0,8207,16
File,Most,release-1.2.0,9219,15
File,Most,release-2.2.0,9327,10
File,Most,release-0.23.10,9663,1
File,Most,release-2.3.0,9737,5
File,Most,release-2.4.0,10192,10
File,All,release-0.1.0,1504,0
File,All,release-0.10.0,1504,0
File,All,release-0.11.0,1504,0
File,All,release-0.12.0,1504,0
File,All,release-0.13.0,1504,0
File,All,release-0.14.0,1504,0
File,All,release-0.15.0,1504,0
File,All,release-0.16.0,1504,0
File,All,release-0.17.0,1504,0
File,All,release-0.18.0,1504,0
File,All,release-0.19.0,1504,0
File,All,release-0.2.0,1504,0
File,All,release-0.20.0,1504,0
File,All,release-0.3.0,1504,0
File,All,release-0.4.0,1504,0
File,All,release-0.5.0,1504,0
File,All,release-0.6.0,1504,0
File,All,release-0.7.0,1504,0
File,All,release-0.8.0,1504,0
File,All,release-0.9.0,2695,77
File,All,release-0.20.203.0,2784,30
File,All,release-0.21.0,4746,15
File,All,release-0.20.204.0,5249,146
File,All,release-0.20.205.0,5740,9
File,All,release-0.23.0,6020,0
File,All,release-0.22.0,6172,9
File,All,release-1.0.0,7590,65
File,All,release-1.1.0,8158,65
File,All,release-1.2.0,9127,107
File,All,release-2.2.0,9265,72
File,All,release-0.23.10,9647,17
File,All,release-2.3.0,9730,12
File,All,release-2.4.0,10170,32
