granularity,buggedType,version_name,valid,bug
Method,Most,karaf-2.0.0,3143,11
Method,Most,karaf-2.1.0,3917,14
Method,Most,karaf-2.2.0,6533,31
Method,Most,karaf-2.3.0,6589,1
Method,Most,karaf-2.2.10,7569,16
Method,Most,karaf-3.0.0,9934,10
Method,Most,karaf-2.4.0,10481,39
Method,Most,karaf-2.3.10,10757,10
Method,Most,karaf-4.0.0,11410,83
Method,Most,karaf-4.1.0,12244,11
Method,Most,karaf-4.0.10,13140,7
Method,All,karaf-2.0.0,3122,32
Method,All,karaf-2.1.0,3923,8
Method,All,karaf-2.2.0,6312,252
Method,All,karaf-2.3.0,6589,1
Method,All,karaf-2.2.10,7558,27
Method,All,karaf-3.0.0,9898,46
Method,All,karaf-2.4.0,10500,20
Method,All,karaf-2.3.10,10760,7
Method,All,karaf-4.0.0,11172,321
Method,All,karaf-4.1.0,12232,23
Method,All,karaf-4.0.10,12941,206
File,Most,karaf-2.0.0,1102,10
File,Most,karaf-2.1.0,1208,5
File,Most,karaf-2.2.0,1961,21
File,Most,karaf-2.3.0,1983,1
File,Most,karaf-2.2.10,2048,13
File,Most,karaf-3.0.0,2459,9
File,Most,karaf-2.4.0,2562,5
File,Most,karaf-2.3.10,2604,5
File,Most,karaf-4.0.0,2675,30
File,Most,karaf-4.1.0,2794,6
File,Most,karaf-4.0.10,2892,5
File,All,karaf-2.0.0,1096,16
File,All,karaf-2.1.0,1208,5
File,All,karaf-2.2.0,1888,94
File,All,karaf-2.3.0,1983,1
File,All,karaf-2.2.10,2045,16
File,All,karaf-3.0.0,2444,24
File,All,karaf-2.4.0,2560,7
File,All,karaf-2.3.10,2604,5
File,All,karaf-4.0.0,2620,85
File,All,karaf-4.1.0,2791,9
File,All,karaf-4.0.10,2862,35
