granularity,buggedType,version_name,valid,bug
Method,Most,mime4j_0_2,456,2
Method,Most,build_0_3,458,0
Method,Most,apache-mime4j-0.3,681,3
Method,Most,apache-mime4j-0.4,909,1
Method,Most,apache-mime4j-0.5,2217,6
Method,Most,apache-mime4j-0.6,3004,4
Method,Most,apache-mime4j-project-0.7,3486,23
Method,All,mime4j_0_2,455,3
Method,All,build_0_3,458,0
Method,All,apache-mime4j-0.3,614,70
Method,All,apache-mime4j-0.4,802,108
Method,All,apache-mime4j-0.5,2098,125
Method,All,apache-mime4j-0.6,3001,7
Method,All,apache-mime4j-project-0.7,3461,48
File,Most,mime4j_0_2,145,3
File,Most,build_0_3,148,0
File,Most,apache-mime4j-0.3,173,1
File,Most,apache-mime4j-0.4,189,2
File,Most,apache-mime4j-0.5,385,2
File,Most,apache-mime4j-0.6,527,3
File,Most,apache-mime4j-project-0.7,557,15
File,All,mime4j_0_2,145,3
File,All,build_0_3,148,0
File,All,apache-mime4j-0.3,167,7
File,All,apache-mime4j-0.4,181,10
File,All,apache-mime4j-0.5,351,36
File,All,apache-mime4j-0.6,526,4
File,All,apache-mime4j-project-0.7,553,19
