granularity,buggedType,version_name,valid,bug
Method,Most,maven-help-plugin-2.0,139,4
Method,Most,maven-help-plugin-2.1,148,0
Method,Most,maven-help-plugin-2.2,181,2
Method,Most,maven-help-plugin-3.0.0,187,0
Method,All,maven-help-plugin-2.0,126,17
Method,All,maven-help-plugin-2.1,148,0
Method,All,maven-help-plugin-2.2,144,39
Method,All,maven-help-plugin-3.0.0,187,0
File,Most,maven-help-plugin-2.0,16,3
File,Most,maven-help-plugin-2.1,20,0
File,Most,maven-help-plugin-2.2,16,2
File,Most,maven-help-plugin-3.0.0,18,0
File,All,maven-help-plugin-2.0,16,3
File,All,maven-help-plugin-2.1,20,0
File,All,maven-help-plugin-2.2,10,8
File,All,maven-help-plugin-3.0.0,18,0
