granularity,buggedType,version_name,valid,bug
Method,Most,maven-plugin-tools-2.2,301,6
Method,Most,maven-plugin-tools-2.4,338,5
Method,Most,maven-plugin-tools-2.5,371,0
Method,Most,maven-plugin-tools-2.6,372,0
Method,Most,maven-plugin-tools-2.7,375,0
Method,Most,maven-plugin-tools-2.8,389,0
Method,Most,maven-plugin-tools-2.9,701,2
Method,Most,maven-plugin-tools-3.0,708,0
Method,Most,maven-plugin-tools-3.1,717,1
Method,Most,maven-plugin-tools-3.2,732,0
Method,Most,maven-plugin-tools-3.3,747,0
Method,Most,maven-plugin-tools-3.4,915,0
Method,Most,maven-plugin-tools-3.5,834,1
Method,All,maven-plugin-tools-2.2,301,6
Method,All,maven-plugin-tools-2.4,326,17
Method,All,maven-plugin-tools-2.5,371,0
Method,All,maven-plugin-tools-2.6,372,0
Method,All,maven-plugin-tools-2.7,375,0
Method,All,maven-plugin-tools-2.8,389,0
Method,All,maven-plugin-tools-2.9,696,7
Method,All,maven-plugin-tools-3.0,708,0
Method,All,maven-plugin-tools-3.1,713,5
Method,All,maven-plugin-tools-3.2,732,0
Method,All,maven-plugin-tools-3.3,747,0
Method,All,maven-plugin-tools-3.4,915,0
Method,All,maven-plugin-tools-3.5,833,2
File,Most,maven-plugin-tools-2.2,63,3
File,Most,maven-plugin-tools-2.4,68,5
File,Most,maven-plugin-tools-2.5,84,0
File,Most,maven-plugin-tools-2.6,84,0
File,Most,maven-plugin-tools-2.7,87,0
File,Most,maven-plugin-tools-2.8,89,0
File,Most,maven-plugin-tools-2.9,157,1
File,Most,maven-plugin-tools-3.0,158,0
File,Most,maven-plugin-tools-3.1,160,3
File,Most,maven-plugin-tools-3.2,169,0
File,Most,maven-plugin-tools-3.3,197,0
File,Most,maven-plugin-tools-3.4,203,0
File,Most,maven-plugin-tools-3.5,198,1
File,All,maven-plugin-tools-2.2,63,3
File,All,maven-plugin-tools-2.4,68,5
File,All,maven-plugin-tools-2.5,84,0
File,All,maven-plugin-tools-2.6,84,0
File,All,maven-plugin-tools-2.7,87,0
File,All,maven-plugin-tools-2.8,89,0
File,All,maven-plugin-tools-2.9,152,6
File,All,maven-plugin-tools-3.0,158,0
File,All,maven-plugin-tools-3.1,154,9
File,All,maven-plugin-tools-3.2,169,0
File,All,maven-plugin-tools-3.3,197,0
File,All,maven-plugin-tools-3.4,203,0
File,All,maven-plugin-tools-3.5,197,2
