granularity,buggedType,version_name,valid,bug
Method,Most,release-0.7,3494,0
Method,Most,release-0.8,3494,0
Method,Most,release-0.9,3494,0
Method,Most,release-1.0,3494,0
Method,Most,1.1,3494,0
Method,Most,relase-1.1,3494,0
Method,Most,release-1.1,2525,7
Method,Most,1.2,2545,4
Method,Most,release-1.2,2618,13
Method,Most,release-1.3,2641,13
Method,Most,release-1.4,2668,13
Method,Most,release-1.5,2685,1
Method,Most,release-2.0,2704,3
Method,Most,release-2.1,2703,5
Method,Most,release-1.6,2752,3
Method,Most,release-2.2,2762,5
Method,Most,release-1.7,2823,13
Method,Most,release-1.8,2858,23
Method,Most,release-1.9,2888,8
Method,All,release-0.7,3494,0
Method,All,release-0.8,3494,0
Method,All,release-0.9,3494,0
Method,All,release-1.0,3494,0
Method,All,1.1,3494,0
Method,All,relase-1.1,3494,0
Method,All,release-1.1,2522,10
Method,All,1.2,2532,17
Method,All,release-1.2,2565,66
Method,All,release-1.3,2619,35
Method,All,release-1.4,2655,26
Method,All,release-1.5,2682,4
Method,All,release-2.0,2701,6
Method,All,release-2.1,2702,6
Method,All,release-1.6,2748,7
Method,All,release-2.2,2749,18
Method,All,release-1.7,2807,29
Method,All,release-1.8,2857,24
Method,All,release-1.9,2880,16
File,Most,release-0.7,519,0
File,Most,release-0.8,519,0
File,Most,release-0.9,519,0
File,Most,release-1.0,519,0
File,Most,1.1,519,0
File,Most,relase-1.1,519,0
File,Most,release-1.1,367,6
File,Most,1.2,373,4
File,Most,release-1.2,379,13
File,Most,release-1.3,386,10
File,Most,release-1.4,395,7
File,Most,release-1.5,401,1
File,Most,release-2.0,400,4
File,Most,release-2.1,401,4
File,Most,release-1.6,413,4
File,Most,release-2.2,415,4
File,Most,release-1.7,415,11
File,Most,release-1.8,460,11
File,Most,release-1.9,466,8
File,All,release-0.7,519,0
File,All,release-0.8,519,0
File,All,release-0.9,519,0
File,All,release-1.0,519,0
File,All,1.1,519,0
File,All,relase-1.1,519,0
File,All,release-1.1,364,9
File,All,1.2,370,7
File,All,release-1.2,355,37
File,All,release-1.3,385,11
File,All,release-1.4,388,14
File,All,release-1.5,400,2
File,All,release-2.0,399,5
File,All,release-2.1,401,4
File,All,release-1.6,411,6
File,All,release-2.2,410,9
File,All,release-1.7,410,16
File,All,release-1.8,457,14
File,All,release-1.9,464,10
