granularity,buggedType,version_name,valid,bug
Method,Most,jackrabbit-oak-0.1,4420,11
Method,Most,jackrabbit-oak-0.2,5589,23
Method,Most,jackrabbit-oak-0.3,6296,24
Method,Most,jackrabbit-oak-0.4,7834,44
Method,Most,jackrabbit-oak-0.5,11769,116
Method,Most,jackrabbit-oak-0.6,14826,73
Method,Most,jackrabbit-oak-0.7,15236,13
Method,Most,jackrabbit-oak-0.8,17000,87
Method,All,jackrabbit-oak-0.1,4209,222
Method,All,jackrabbit-oak-0.2,5534,78
Method,All,jackrabbit-oak-0.3,6181,139
Method,All,jackrabbit-oak-0.4,7533,345
Method,All,jackrabbit-oak-0.5,11039,846
Method,All,jackrabbit-oak-0.6,14453,446
Method,All,jackrabbit-oak-0.7,15180,69
Method,All,jackrabbit-oak-0.8,16465,622
File,Most,jackrabbit-oak-0.1,593,9
File,Most,jackrabbit-oak-0.2,729,15
File,Most,jackrabbit-oak-0.3,805,14
File,Most,jackrabbit-oak-0.4,1010,31
File,Most,jackrabbit-oak-0.5,1557,70
File,Most,jackrabbit-oak-0.6,1828,30
File,Most,jackrabbit-oak-0.7,1876,10
File,Most,jackrabbit-oak-0.8,2060,47
File,All,jackrabbit-oak-0.1,514,88
File,All,jackrabbit-oak-0.2,718,26
File,All,jackrabbit-oak-0.3,755,64
File,All,jackrabbit-oak-0.4,950,91
File,All,jackrabbit-oak-0.5,1370,257
File,All,jackrabbit-oak-0.6,1750,108
File,All,jackrabbit-oak-0.7,1849,37
File,All,jackrabbit-oak-0.8,1953,154
