granularity,buggedType,version_name,valid,bug
Method,Most,3.2,6245,28
Method,Most,release-3.3.0,8529,110
Method,Most,release-4.0.0,9602,169
Method,Most,release-4.1.0,10199,62
Method,Most,release-4.2.0,10745,160
Method,Most,release-4.3.0,12148,95
Method,All,3.2,6219,54
Method,All,release-3.3.0,7968,671
Method,All,release-4.0.0,8799,972
Method,All,release-4.1.0,9982,279
Method,All,release-4.2.0,10401,504
Method,All,release-4.3.0,11634,609
File,Most,3.2,689,58
File,Most,release-3.3.0,925,56
File,Most,release-4.0.0,958,93
File,Most,release-4.1.0,1038,41
File,Most,release-4.2.0,1027,79
File,Most,release-4.3.0,1153,58
File,All,3.2,684,63
File,All,release-3.3.0,763,218
File,All,release-4.0.0,820,231
File,All,release-4.1.0,966,113
File,All,release-4.2.0,840,266
File,All,release-4.3.0,1031,180
