granularity,buggedType,version_name,valid,bug
Method,Most,1.0.0,22860,83
Method,Most,1.1.0,28454,115
Method,Most,1.2.0,37156,225
Method,Most,2.0.0,40048,188
Method,Most,2.1.0,41061,83
Method,Most,2.2.0,42768,123
Method,Most,openjpa-parent-2.3.0,42891,0
Method,Most,2.3.0,43343,45
Method,Most,openjpa-parent-2.4.0,43388,0
Method,Most,2.4.0,43772,38
Method,Most,openjpa-parent-3.0.0,43810,0
Method,All,1.0.0,22599,344
Method,All,1.1.0,27667,902
Method,All,1.2.0,36197,1184
Method,All,2.0.0,39649,587
Method,All,2.1.0,40827,317
Method,All,2.2.0,42608,283
Method,All,openjpa-parent-2.3.0,42891,0
Method,All,2.3.0,43298,90
Method,All,openjpa-parent-2.4.0,43388,0
Method,All,2.4.0,43749,61
Method,All,openjpa-parent-3.0.0,43810,0
File,Most,1.0.0,2362,60
File,Most,1.1.0,3054,65
File,Most,1.2.0,4084,116
File,Most,2.0.0,4446,79
File,Most,2.1.0,4582,50
File,Most,2.2.0,4786,78
File,Most,openjpa-parent-2.3.0,4864,0
File,Most,2.3.0,4891,31
File,Most,openjpa-parent-2.4.0,4922,0
File,Most,2.4.0,4945,27
File,Most,openjpa-parent-3.0.0,4972,0
File,All,1.0.0,2309,113
File,All,1.1.0,2981,138
File,All,1.2.0,3933,267
File,All,2.0.0,4351,174
File,All,2.1.0,4528,104
File,All,2.2.0,4738,126
File,All,openjpa-parent-2.3.0,4864,0
File,All,2.3.0,4603,319
File,All,openjpa-parent-2.4.0,4922,0
File,All,2.4.0,4934,38
File,All,openjpa-parent-3.0.0,4972,0
