granularity,buggedType,version_name,valid,bug
Method,Most,M2.1,15070,41
Method,Most,to-cmake-25mar09,17355,118
Method,Most,0.6,18606,112
Method,Most,0.5,18718,1
Method,Most,0.8,19142,51
Method,Most,0.10,25736,276
Method,Most,0.20,43083,256
Method,All,M2.1,14681,430
Method,All,to-cmake-25mar09,16217,1256
Method,All,0.6,18308,410
Method,All,0.5,18718,1
Method,All,0.8,18999,194
Method,All,0.10,21839,4173
Method,All,0.20,34385,8954
File,Most,M2.1,2139,23
File,Most,to-cmake-25mar09,2350,57
File,Most,0.6,2510,38
File,Most,0.5,2548,1
File,Most,0.8,2547,29
File,Most,0.10,3031,104
File,Most,0.20,4823,139
File,All,M2.1,2067,95
File,All,to-cmake-25mar09,2195,212
File,All,0.6,2372,176
File,All,0.5,2548,1
File,All,0.8,2519,57
File,All,0.10,2501,634
File,All,0.20,3616,1346
