granularity,buggedType,version_name,valid,bug
Method,Most,maven-scm-1.0,2894,10
Method,Most,maven-scm-1.1,2973,9
Method,Most,maven-scm-1.2,3256,2
Method,Most,maven-scm-1.3,3856,0
Method,Most,maven-scm-1.4,3971,0
Method,Most,maven-scm-1.5,4203,2
Method,Most,maven-scm-1.6,4494,8
Method,Most,maven-scm-1.7,4555,0
Method,Most,maven-scm-1.8,4677,1
Method,Most,maven-scm-1.9,4774,12
Method,All,maven-scm-1.0,2880,24
Method,All,maven-scm-1.1,2930,52
Method,All,maven-scm-1.2,3212,46
Method,All,maven-scm-1.3,3856,0
Method,All,maven-scm-1.4,3971,0
Method,All,maven-scm-1.5,4204,1
Method,All,maven-scm-1.6,4482,20
Method,All,maven-scm-1.7,4555,0
Method,All,maven-scm-1.8,4677,1
Method,All,maven-scm-1.9,4751,35
File,Most,maven-scm-1.0,711,9
File,Most,maven-scm-1.1,724,8
File,Most,maven-scm-1.2,782,3
File,Most,maven-scm-1.3,913,0
File,Most,maven-scm-1.4,927,0
File,Most,maven-scm-1.5,990,1
File,Most,maven-scm-1.6,1043,7
File,Most,maven-scm-1.7,1054,1
File,Most,maven-scm-1.8,1083,1
File,Most,maven-scm-1.9,1079,10
File,All,maven-scm-1.0,705,15
File,All,maven-scm-1.1,695,37
File,All,maven-scm-1.2,771,14
File,All,maven-scm-1.3,913,0
File,All,maven-scm-1.4,927,0
File,All,maven-scm-1.5,990,1
File,All,maven-scm-1.6,1038,12
File,All,maven-scm-1.7,1054,1
File,All,maven-scm-1.8,1083,1
File,All,maven-scm-1.9,1071,18
