granularity,buggedType,version_name,valid,bug
Method,Most,servicemix-5.0.0,299,3
Method,Most,servicemix-5.1.0,302,0
Method,Most,servicemix-5.3.0,302,0
Method,Most,servicemix-5.2.0,302,0
Method,Most,servicemix-5.4.0,387,0
Method,Most,servicemix-6.0.0,387,0
Method,Most,servicemix-5.5.0,387,0
Method,Most,servicemix-6.1.0,389,0
Method,Most,servicemix-5.6.0,434,0
Method,All,servicemix-5.0.0,291,11
Method,All,servicemix-5.1.0,302,0
Method,All,servicemix-5.3.0,302,0
Method,All,servicemix-5.2.0,302,0
Method,All,servicemix-5.4.0,387,0
Method,All,servicemix-6.0.0,387,0
Method,All,servicemix-5.5.0,387,0
Method,All,servicemix-6.1.0,389,0
Method,All,servicemix-5.6.0,434,0
File,Most,servicemix-5.0.0,95,3
File,Most,servicemix-5.1.0,98,0
File,Most,servicemix-5.3.0,98,0
File,Most,servicemix-5.2.0,98,0
File,Most,servicemix-5.4.0,121,0
File,Most,servicemix-6.0.0,121,0
File,Most,servicemix-5.5.0,120,1
File,Most,servicemix-6.1.0,121,0
File,Most,servicemix-5.6.0,129,0
File,All,servicemix-5.0.0,94,4
File,All,servicemix-5.1.0,98,0
File,All,servicemix-5.3.0,98,0
File,All,servicemix-5.2.0,98,0
File,All,servicemix-5.4.0,121,0
File,All,servicemix-6.0.0,121,0
File,All,servicemix-5.5.0,111,10
File,All,servicemix-6.1.0,121,0
File,All,servicemix-5.6.0,129,0
