granularity,buggedType,version_name,valid,bug
Method,Most,release-0.2.0,14547,207
Method,Most,release-0.8.0,19083,168
Method,Most,release-0.9.0,22071,82
Method,Most,release-0.10.0,28524,184
Method,All,release-0.2.0,13560,1194
Method,All,release-0.8.0,18355,896
Method,All,release-0.9.0,21239,914
Method,All,release-0.10.0,24987,3721
File,Most,release-0.2.0,1528,82
File,Most,release-0.8.0,1945,135
File,Most,release-0.9.0,2702,63
File,Most,release-0.10.0,3305,116
File,All,release-0.2.0,1331,279
File,All,release-0.8.0,1823,257
File,All,release-0.9.0,2481,284
File,All,release-0.10.0,2743,678
