granularity,buggedType,version_name,valid,bug
Method,Most,maven-plugin-parent-1.2.0,58673,268
Method,Most,trinidad-1.0.10,58941,0
Method,Most,trinidad-1.2.10,61496,247
Method,Most,trinidad-2.0.0,62713,92
Method,Most,trinidad-2.1.0,63186,47
Method,All,maven-plugin-parent-1.2.0,58002,939
Method,All,trinidad-1.0.10,58941,0
Method,All,trinidad-1.2.10,60477,1266
Method,All,trinidad-2.0.0,62114,691
Method,All,trinidad-2.1.0,62918,315
File,Most,maven-plugin-parent-1.2.0,8108,192
File,Most,trinidad-1.0.10,8300,0
File,Most,trinidad-1.2.10,8405,122
File,Most,trinidad-2.0.0,8528,67
File,Most,trinidad-2.1.0,8589,35
File,All,maven-plugin-parent-1.2.0,7973,327
File,All,trinidad-1.0.10,8300,0
File,All,trinidad-1.2.10,8259,268
File,All,trinidad-2.0.0,7237,1358
File,All,trinidad-2.1.0,8557,67
