granularity,buggedType,version_name,valid,bug
Method,Most,v1.0,13195,7
Method,Most,v0.9.10,13214,1
Method,Most,portal-2.0.10,15191,16
Method,Most,1.0.0,15207,0
Method,Most,usergrid-1.0.0,19150,22
Method,All,v1.0,13107,95
Method,All,v0.9.10,13214,1
Method,All,portal-2.0.10,15079,128
Method,All,1.0.0,15207,0
Method,All,usergrid-1.0.0,19120,52
File,Most,v1.0,2134,5
File,Most,v0.9.10,2138,2
File,Most,portal-2.0.10,2293,8
File,Most,1.0.0,2301,0
File,Most,usergrid-1.0.0,2950,16
File,All,v1.0,2120,19
File,All,v0.9.10,2139,1
File,All,portal-2.0.10,2231,70
File,All,1.0.0,2301,0
File,All,usergrid-1.0.0,2931,35
