granularity,buggedType,version_name,valid,bug
Method,Most,jaxp-ri-1_2_0-fcs-branch-01,7816,2
Method,Most,jaxp-ri-1_2_0-fcs-02,8633,5
Method,Most,jaxp-ri-1_2_0-fcs-03,8658,5
Method,Most,jaxp-ri-1_2_0-fcs-04,9263,16
Method,Most,jaxp_1_2_2_branch_02,12336,197
Method,All,jaxp-ri-1_2_0-fcs-branch-01,7699,119
Method,All,jaxp-ri-1_2_0-fcs-02,8489,149
Method,All,jaxp-ri-1_2_0-fcs-03,8660,3
Method,All,jaxp-ri-1_2_0-fcs-04,9179,100
Method,All,jaxp_1_2_2_branch_02,11458,1075
File,Most,jaxp-ri-1_2_0-fcs-branch-01,933,3
File,Most,jaxp-ri-1_2_0-fcs-02,1029,6
File,Most,jaxp-ri-1_2_0-fcs-03,1034,1
File,Most,jaxp-ri-1_2_0-fcs-04,1051,8
File,Most,jaxp_1_2_2_branch_02,1044,98
File,All,jaxp-ri-1_2_0-fcs-branch-01,879,57
File,All,jaxp-ri-1_2_0-fcs-02,959,76
File,All,jaxp-ri-1_2_0-fcs-03,1034,1
File,All,jaxp-ri-1_2_0-fcs-04,1001,58
File,All,jaxp_1_2_2_branch_02,904,238
