granularity,buggedType,version_name,valid,bug
Method,Most,2.1.0,5189,0
Method,Most,2.2.0,5189,0
Method,Most,release-3.0.0,5189,0
Method,Most,release-3.1.0,5189,0
Method,Most,release-3.2.0,5189,0
Method,Most,release-3.3.0,4190,7
Method,Most,release-3.4.0,5486,9
Method,Most,release-3.5.0,6099,111
Method,All,2.1.0,5189,0
Method,All,2.2.0,5189,0
Method,All,release-3.0.0,5189,0
Method,All,release-3.1.0,5189,0
Method,All,release-3.2.0,5189,0
Method,All,release-3.3.0,4168,29
Method,All,release-3.4.0,5479,16
Method,All,release-3.5.0,5910,300
File,Most,2.1.0,738,0
File,Most,2.2.0,738,0
File,Most,release-3.0.0,738,0
File,Most,release-3.1.0,738,0
File,Most,release-3.2.0,738,0
File,Most,release-3.3.0,562,6
File,Most,release-3.4.0,698,6
File,Most,release-3.5.0,740,50
File,All,2.1.0,738,0
File,All,2.2.0,738,0
File,All,release-3.0.0,738,0
File,All,release-3.1.0,738,0
File,All,release-3.2.0,738,0
File,All,release-3.3.0,553,15
File,All,release-3.4.0,695,9
File,All,release-3.5.0,663,127
